Question,Intent
"I am nervous about asking her out, what if she says no?","Seeking advice/guidance"
"How do I tell if hes actually interested in me?","Seeking advice/guidance"
"I cannot stop smiling whenever I see his name on my phone.","Venting/expressing emotions"
"Why did she ghost me after such a great first date?","Information seeking"
"I hate how jealous I get when he talks to other girls.","Venting/expressing emotions"
"Whats the best way to calm first‐date jitters?","Seeking advice/guidance"
"I feel so inadequate compared to her exes.","Venting/expressing emotions"
"He remembered my favorite movie—should I be excited?","Seeking advice/guidance"
"Why do I panic when he takes too long to reply?","Information seeking"
"How do I rebuild trust after he lied about his past?","Conflict resolution"
"Im so proud that she introduced me to her friends.","Venting/expressing emotions"
"What do I do if he brings up his ex on date two?","Conflict resolution"
"I feel disgusted by how flaky she is.","Venting/expressing emotions"
"How can I show genuine excitement without seeming desperate?","Communication improvement"
"He canceled again—am I being dramatic?","Seeking advice/guidance"
"Im so terrified of getting hurt again.","Venting/expressing emotions"
"Why do I trust him so quickly when Ive been burned before?","Reflection on past experiences"
"How can I surprise her in a thoughtful way?","Future planning/relationship goals"
"Im so angry he flaked on our anniversary.","Venting/expressing emotions"
"Should I be worried if shes too quiet on our date?","Seeking advice/guidance"
"I love how comfortable I feel around him.","Venting/expressing emotions"
"He didnt text back for three hours—whats going on?","Information seeking"
"I feel lonely even when were together.","Venting/expressing emotions"
"How do I handle butterflies without freaking out?","Seeking advice/guidance"
"Im frustrated that shes always late.","Venting/expressing emotions"
"He winked at me—does that mean something?","Information seeking"
"Im anxious about meeting her parents.","Venting/expressing emotions"
"How can I hide my disappointment when he cancels?","Communication improvement"
"I feel hopeful after our great conversation.","Venting/expressing emotions"
"What do I do if I get butterflies but dont want to act weird?","Communication improvement"
"Im furious she lied about her job.","Venting/expressing emotions"
"How can I surprise him on Valentines Day?","Future planning/relationship goals"
"Im upset that he didnt notice my new haircut.","Venting/expressing emotions"
"Why does my heart race when I see his text?","Information seeking"
"I feel disgusted by the lies I told to impress her.","Reflection on past experiences"
"What if I mess up our first kiss?","Seeking advice/guidance"
"Im thrilled he finally asked me out.","Venting/expressing emotions"
"How do I cope when she keeps comparing me to her ex?","Conflict resolution"
"Im nervous about meeting him in person.","Venting/expressing emotions"
"What do I do if she seems distant lately?","Conflict resolution"
"He made me breakfast in bed—should I be touched?","Seeking advice/guidance"
"Im annoyed by his constant teasing.","Venting/expressing emotions"
"How can I stay calm when I really like her?","Seeking advice/guidance"
"Im heartbroken after our argument last night.","Venting/expressing emotions"
"What if he doesnt like me back?","Seeking advice/guidance"
"Im excited for our weekend getaway.","Venting/expressing emotions"
"Why do I feel so foolish after my bad joke?","Reflection on past experiences"
"I feel hopeful but also terrified of commitment.","Venting/expressing emotions"
"How do I rebuild my confidence after rejection?","Seeking advice/guidance"
"Im grateful he listened to me vent.","Venting/expressing emotions"
